episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
56,e56-h3-h10-g2,h3,h10,39.5,71.41499999999999,0.0,0.0,-0.07101181818181816
56,e56-h4-h9-g3,h4,h9,17.3,57.943,0.067,0.55,-0.11233345454545453
57,e57-h1-h12-g0,h1,h12,41.7,52.188500000000005,0.084,0.2,-0.039062818181818185
57,e57-h2-h11-g1,h2,h11,9.24,58.629999999999995,0.087,0.2,-0.11098199999999998
57,e57-h3-h10-g2,h3,h10,41.3,73.91999999999999,0.073,1.9,-0.16818709090909084
57,e57-h4-h9-g3,h4,h9,17.3,61.824,0.095,0.19,-0.10226345454545452
58,e58-h1-h12-g0,h1,h12,44.7,81.0595,0.07,1.9,-0.1762662727272727
58,e58-h2-h11-g1,h2,h11,40.7,73.17599999999999,0.068,1.7,-0.15775999999999998
58,e58-h3-h10-g2,h3,h10,13.3,59.53,0.116,0.13,-0.10207418181818181
58,e58-h4-h9-g3,h4,h9,17.9,58.688500000000005,0.066,0.59,-0.11472754545454546
59,e59-h1-h12-g0,h1,h12,9.56,61.915,0.102,0.12,-0.11306018181818181
59,e59-h2-h11-g1,h2,h11,9.25,59.8105,0.093,0.12,-0.10936081818181817
59,e59-h3-h10-g2,h3,h10,33.0,73.625,0.068,1.4,-0.157658
59,e59-h4-h9-g3,h4,h9,19.1,75.899,0.071,0.61,-0.14799672727272725
60,e60-h1-h12-g0,h1,h12,54.0,93.36449999999999,0.067,2.2,-0.19894918181818178
60,e60-h2-h11-g1,h2,h11,21.9,57.556,0.108,0.12,-0.08194181818181817
60,e60-h3-h10-g2,h3,h10,9.29,60.9735,0.133,0.11,-0.1113540909090909
60,e60-h4-h9-g3,h4,h9,24.8,62.310500000000005,0.067,0.98,-0.1289320909090909
61,e61-h1-h12-g0,h1,h12,39.1,62.6085,0.194,0.12,-0.0612900909090909
61,e61-h2-h11-g1,h2,h11,9.08,60.010999999999996,0.085,0.11,-0.10952290909090907
