episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
105,e105-h1-h16-g0,h1,h16,13.3,88.4435,0.083,0.5,-0.03125954444444444
105,e105-h2-h15-g1,h2,h15,16.2,84.77250000000001,0.081,0.7,-0.025606500000000008
106,e106-h1-h16-g0,h1,h16,12.1,78.1845,0.114,0.094,-0.021773811111111107
106,e106-h2-h15-g1,h2,h15,12.6,85.71350000000001,0.214,0.086,-0.0253601
107,e107-h1-h16-g0,h1,h16,11.5,85.31899999999999,0.0,0.0,-0.025635844444444437
107,e107-h2-h15-g1,h2,h15,22.6,100.96950000000001,0.083,1.1,-0.027108477777777786
108,e108-h1-h16-g0,h1,h16,14.7,81.6565,0.078,0.57,-0.025111233333333323
108,e108-h2-h15-g1,h2,h15,16.4,81.19,0.16,0.077,-0.01390455555555556
109,e109-h1-h16-g0,h1,h16,22.0,90.79400000000001,0.088,0.94,-0.01995151111111112
109,e109-h2-h15-g1,h2,h15,23.6,89.5925,0.084,0.91,-0.01521305555555555
110,e110-h1-h16-g0,h1,h16,14.7,82.3035,0.078,0.61,-0.02609943333333333
110,e110-h2-h15-g1,h2,h15,15.3,82.82650000000001,0.198,0.14,-0.018389900000000008
111,e111-h1-h16-g0,h1,h16,22.5,85.1845,0.0,0.0,-0.0011106999999999922
111,e111-h2-h15-g1,h2,h15,10.2,85.044,0.212,0.1,-0.030495733333333327
112,e112-h1-h16-g0,h1,h16,27.7,90.12899999999999,0.0,0.0,0.007478155555555567
112,e112-h2-h15-g1,h2,h15,14.3,92.8665,0.082,0.52,-0.03198812222222222
113,e113-h1-h16-g0,h1,h16,13.8,83.538,0.079,0.51,-0.027343133333333332
113,e113-h2-h15-g1,h2,h15,7.54,83.025,0.133,0.087,-0.03476344444444444
114,e114-h1-h16-g0,h1,h16,15.5,83.436,0.079,0.62,-0.02515415555555556
114,e114-h2-h15-g1,h2,h15,17.4,82.332,0.182,0.11,-0.012928533333333322
115,e115-h1-h16-g0,h1,h16,7.76,83.8475,0.146,0.11,-0.03515205555555555
115,e115-h2-h15-g1,h2,h15,12.8,88.155,0.083,0.48,-0.03189755555555555
116,e116-h1-h16-g0,h1,h16,13.1,97.021,0.081,0.47,-0.03639448888888888
116,e116-h2-h15-g1,h2,h15,8.27,79.963,0.126,0.13,-0.03192802222222221
117,e117-h1-h16-g0,h1,h16,15.1,83.73949999999999,0.08,0.6,-0.02592814444444444
117,e117-h2-h15-g1,h2,h15,15.9,89.2045,0.086,0.61,-0.02759736666666665
118,e118-h1-h16-g0,h1,h16,14.3,88.85849999999999,0.081,0.55,-0.030030322222222218
118,e118-h2-h15-g1,h2,h15,26.8,89.0795,0.08,1.1,-0.010632144444444432
119,e119-h1-h16-g0,h1,h16,12.6,88.26750000000001,0.085,0.44,-0.031815500000000003
119,e119-h2-h15-g1,h2,h15,15.9,84.02850000000001,0.08,0.56,-0.02372376666666666
120,e120-h1-h16-g0,h1,h16,13.6,88.64349999999999,0.081,0.54,-0.03130687777777777
120,e120-h2-h15-g1,h2,h15,26.6,91.064,0.08,1.3,-0.015267288888888883
121,e121-h1-h16-g0,h1,h16,10.7,78.5975,0.122,0.1,-0.02524672222222222
121,e121-h2-h15-g1,h2,h15,11.0,81.979,0.113,0.12,-0.026881955555555552
122,e122-h1-h16-g0,h1,h16,13.1,79.767,0.077,0.47,-0.02603008888888888
122,e122-h2-h15-g1,h2,h15,8.18,87.4815,0.228,0.1,-0.03649512222222222
123,e123-h1-h16-g0,h1,h16,15.4,124.0515,0.0,0.0,-0.04020867777777778
123,e123-h2-h15-g1,h2,h15,7.98,111.1565,0.472,0.1,-0.05187656666666665
124,e124-h1-h16-g0,h1,h16,25.6,97.9285,0.09,1.0,-0.017138211111111107
124,e124-h2-h15-g1,h2,h15,14.9,92.907,0.083,0.57,-0.031432088888888876
125,e125-h1-h16-g0,h1,h16,23.4,89.82650000000001,0.085,0.98,-0.016850900000000012
125,e125-h2-h15-g1,h2,h15,11.7,80.9525,0.158,0.08,-0.0242455
126,e126-h1-h16-g0,h1,h16,8.13,90.6795,0.253,0.083,-0.03834503333333334
126,e126-h2-h15-g1,h2,h15,14.2,91.9615,0.082,0.57,-0.03241734444444445
127,e127-h1-h16-g0,h1,h16,11.9,93.7865,0.312,0.13,-0.03271345555555555
127,e127-h2-h15-g1,h2,h15,12.2,80.0865,0.126,0.081,-0.022533788888888892
128,e128-h1-h16-g0,h1,h16,7.65,79.8875,0.119,0.1,-0.0327895
128,e128-h2-h15-g1,h2,h15,15.2,85.636,0.081,0.59,-0.026696822222222208
129,e129-h1-h16-g0,h1,h16,10.3,78.12049999999999,0.124,0.086,-0.02564541111111111
129,e129-h2-h15-g1,h2,h15,10.9,84.6795,0.0,0.0,-0.02658547777777778
130,e130-h1-h16-g0,h1,h16,7.89,81.65549999999999,0.148,0.091,-0.033268966666666656
130,e130-h2-h15-g1,h2,h15,13.5,88.917,0.083,0.56,-0.03199919999999999
131,e131-h1-h16-g0,h1,h16,13.8,89.543,0.081,0.52,-0.031102133333333334
131,e131-h2-h15-g1,h2,h15,13.6,91.5375,0.084,0.55,-0.03320227777777777
132,e132-h1-h16-g0,h1,h16,8.9,86.2025,0.155,0.085,-0.03368372222222222
132,e132-h2-h15-g1,h2,h15,16.1,82.3265,0.079,0.7,-0.024355122222222213
133,e133-h1-h16-g0,h1,h16,14.1,85.035,0.208,0.08,-0.021511666666666658
133,e133-h2-h15-g1,h2,h15,7.44,81.7645,0.0,0.0,-0.032525366666666666
134,e134-h1-h16-g0,h1,h16,20.6,94.6635,0.092,0.87,-0.024346322222222216
