state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.121,-0.121,-0.119,-0.028,-0.048,6,162
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.088,0.077,-0.117,0.022,0.034,7,163
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.088,0.077,-0.117,0.022,0.034,7,164
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.12,-0.028,-0.051,4,165
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.12,-0.028,-0.051,4,166
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.1,0.041,-0.116,0.0,0.009,1,167
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.1,0.041,-0.116,0.0,0.009,1,168
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.134,-0.134,-0.118,-0.022,-0.047,9,169
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.134,-0.134,-0.118,-0.022,-0.047,9,170
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.1,0.039,-0.115,0.019,0.024,6,171
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.1,0.039,-0.115,0.019,0.024,6,172
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.128,-0.128,-0.12,0.0,-0.028,1,173
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.128,-0.128,-0.12,0.0,-0.028,1,174
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.1,0.045,-0.117,0.015,0.022,2,175
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.1,0.045,-0.117,0.015,0.022,2,176
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.101,0.037,-0.115,0.0,0.008,3,177
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.101,0.037,-0.115,0.0,0.008,3,178
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.129,-0.129,-0.121,-0.05,-0.068,5,179
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.129,-0.129,-0.121,-0.05,-0.068,5,180
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.103,0.035,-0.117,0.0,0.008,3,181
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.103,0.035,-0.117,0.0,0.008,3,182
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.103,0.034,-0.116,0.0,0.007,4,183
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.103,0.034,-0.116,0.0,0.007,4,184
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.121,-0.051,-0.067,5,185
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.121,-0.051,-0.067,5,186
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.099,0.039,-0.114,0.027,0.029,7,187
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.099,0.039,-0.114,0.027,0.029,7,188
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.097,0.058,-0.12,-0.014,0.002,17,189
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.097,0.058,-0.12,-0.014,0.002,17,190
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.126,-0.126,-0.115,0.0,-0.028,7,191
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.126,-0.126,-0.115,0.0,-0.028,7,192
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.096,0.047,-0.114,0.035,0.038,16,193
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.096,0.047,-0.114,0.035,0.038,16,194
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.099,0.042,-0.116,0.022,0.026,4,195
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.099,0.042,-0.116,0.022,0.026,4,196
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.144,-0.144,-0.121,0.0,-0.032,7,197
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.144,-0.144,-0.121,0.0,-0.032,7,198
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.092,0.06,-0.115,0.041,0.046,16,199
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.092,0.06,-0.115,0.041,0.046,16,200
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.126,-0.126,-0.121,0.002,-0.027,19,201
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.126,-0.126,-0.121,0.002,-0.027,19,202
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.14,-0.14,-0.115,-0.028,-0.052,4,203
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.14,-0.14,-0.115,-0.028,-0.052,4,204
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.13,-0.13,-0.121,-0.025,-0.049,7,205
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.13,-0.13,-0.121,-0.025,-0.049,7,206
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.097,0.044,-0.114,0.0,0.01,4,207
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.097,0.044,-0.114,0.0,0.01,4,208
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.102,0.032,-0.114,0.019,0.022,3,209
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.102,0.032,-0.114,0.019,0.022,3,210
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.132,-0.132,-0.122,-0.0,-0.029,3,211
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.132,-0.132,-0.122,-0.0,-0.029,3,212
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.115,-0.028,-0.049,7,213
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.115,-0.028,-0.049,7,214
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.105,0.023,-0.114,0.038,0.035,18,215
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.105,0.023,-0.114,0.038,0.035,18,216
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.101,0.032,-0.113,0.019,0.021,4,217
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.101,0.032,-0.113,0.019,0.021,4,218
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.097,0.062,-0.121,-0.001,0.013,6,219
