state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.147,0.0,-0.027,7,187
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.147,0.0,-0.027,7,188
"('h1', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.152,-0.152,-0.153,0.0,-0.033,4,189
"('h4', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.152,-0.152,-0.153,0.0,-0.033,4,190
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.132,-0.132,-0.148,-0.035,-0.057,4,191
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.132,-0.132,-0.148,-0.035,-0.057,4,192
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.147,-0.004,-0.032,8,193
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.147,-0.004,-0.032,8,194
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.159,-0.159,-0.147,-0.065,-0.086,7,195
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.159,-0.159,-0.147,-0.065,-0.086,7,196
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.139,-0.139,-0.152,-0.029,-0.053,3,197
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.139,-0.139,-0.152,-0.029,-0.053,3,198
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.165,-0.165,-0.149,0.0,-0.036,2,199
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.165,-0.165,-0.149,0.0,-0.036,2,200
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.169,-0.169,-0.15,-0.064,-0.087,7,201
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.169,-0.169,-0.15,-0.064,-0.087,7,202
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.166,-0.166,-0.153,-0.081,-0.1,7,203
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.166,-0.166,-0.153,-0.081,-0.1,7,204
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.128,-0.128,-0.149,0.0,-0.028,1,205
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.128,-0.128,-0.149,0.0,-0.028,1,206
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.153,-0.034,-0.061,8,207
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.153,-0.034,-0.061,8,208
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.146,-0.07,-0.083,6,209
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.146,-0.07,-0.083,6,210
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.149,0.0,-0.035,9,211
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.149,0.0,-0.035,9,212
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.138,-0.138,-0.146,0.0,-0.03,2,213
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.138,-0.138,-0.146,0.0,-0.03,2,214
